returned_keyword,close_variants,matched_submitted_keywords,matched_formats,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography,geo_criterion,language,language_criterion,network,observed_at,interpretation
speed dating,,speed dating,Social and relationship: Speed dating,5400,MEDIUM,34,1.4744,0.4690,1.6565,2025-august:6600|2025-september:6600|2025-october:5400|2025-november:6600|2025-december:4400|2026-january:5400|2026-february:5400|2026-march:4400|2026-april:4400|2026-may:4400|2026-june:4400|2026-july:3600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
wine tasting near me,,wine tasting near me,Food and drink: Wine tasting,5400,HIGH,100,0.8210,0.3564,0.9869,2025-august:8100|2025-september:6600|2025-october:5400|2025-november:6600|2025-december:5400|2026-january:5400|2026-february:3600|2026-march:4400|2026-april:4400|2026-may:4400|2026-june:4400|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
book club near me,book clubs near me,book club near me|book clubs near me,"Ideas, books and learning: Book clubs",4400,LOW,13,0.9092,0.3039,0.9080,2025-august:4400|2025-september:4400|2025-october:4400|2025-november:4400|2025-december:3600|2026-january:6600|2026-february:4400|2026-march:3600|2026-april:3600|2026-may:3600|2026-june:3600|2026-july:3600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
outdoor cinema near me,,outdoor cinema near me,Live culture: Outdoor cinema,4400,LOW,6,0.7364,0.0689,0.8028,2025-august:12100|2025-september:3600|2025-october:2900|2025-november:1000|2025-december:880|2026-january:880|2026-february:1000|2026-march:1900|2026-april:3600|2026-may:6600|2026-june:8100|2026-july:12100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
reading group near me,,reading group near me,"Ideas, books and learning: Reading groups",4400,LOW,13,0.9092,0.3039,0.9080,2025-august:4400|2025-september:4400|2025-october:4400|2025-november:4400|2025-december:3600|2026-january:6600|2026-february:4400|2026-march:3600|2026-april:3600|2026-may:3600|2026-june:3600|2026-july:3600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
reading groups near me,,reading groups near me,"Ideas, books and learning: Reading groups",4400,LOW,13,0.9092,0.3039,0.9080,2025-august:4400|2025-september:4400|2025-october:4400|2025-november:4400|2025-december:3600|2026-january:6600|2026-february:4400|2026-march:3600|2026-april:3600|2026-may:3600|2026-june:3600|2026-july:3600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
running clubs near me,run club near me,running clubs near me|run club near me,Outdoor and endurance: Running clubs,4400,LOW,15,1.3924,0.5160,1.4026,2025-august:5400|2025-september:5400|2025-october:5400|2025-november:4400|2025-december:3600|2026-january:5400|2026-february:3600|2026-march:3600|2026-april:4400|2026-may:4400|2026-june:3600|2026-july:3600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
tennis lessons near me,,tennis lessons near me,Racket and team sport: Tennis,4400,LOW,25,0.7388,0.2077,0.9601,2025-august:5400|2025-september:5400|2025-october:2900|2025-november:2900|2025-december:2900|2026-january:4400|2026-february:4400|2026-march:5400|2026-april:5400|2026-may:5400|2026-june:5400|2026-july:5400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
volleyball clubs near me,,volleyball clubs near me,Racket and team sport: Volleyball,4400,LOW,3,0.3712,0.1802,4.5458,2025-august:4400|2025-september:5400|2025-october:4400|2025-november:4400|2025-december:2900|2026-january:4400|2026-february:4400|2026-march:5400|2026-april:4400|2026-may:3600|2026-june:3600|2026-july:2900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
acting classes near me,,acting classes near me,Performance and dance: Acting classes,3600,MEDIUM,51,2.2071,0.5790,2.4697,2025-august:4400|2025-september:4400|2025-october:3600|2025-november:3600|2025-december:3600|2026-january:6600|2026-february:3600|2026-march:3600|2026-april:2900|2026-may:2400|2026-june:2900|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
choir near me,choirs near me,choir near me|choirs near me,Performance and dance: Choirs,3600,LOW,3,2.4854,0.6063,4.0159,2025-august:3600|2025-september:5400|2025-october:5400|2025-november:4400|2025-december:5400|2026-january:5400|2026-february:2900|2026-march:3600|2026-april:2900|2026-may:2900|2026-june:2400|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pole fitness near me,,pole fitness near me,Performance and dance: Pole dancing,3600,LOW,16,0.3987,0.4651,1.4242,2025-august:3600|2025-september:4400|2025-october:4400|2025-november:3600|2025-december:2900|2026-january:4400|2026-february:3600|2026-march:4400|2026-april:3600|2026-may:3600|2026-june:2900|2026-july:3600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
shuffleboard near me,,shuffleboard near me,Competitive experiences: Shuffleboard,3600,LOW,30,0.3205,0.3156,1.0596,2025-august:2900|2025-september:3600|2025-october:4400|2025-november:4400|2025-december:4400|2026-january:4400|2026-february:4400|2026-march:3600|2026-april:3600|2026-may:2900|2026-june:2400|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sip and paint near me,,sip and paint near me,Craft and making: Sip and paint,3600,HIGH,98,0.5167,0.1684,0.6233,2025-august:4400|2025-september:3600|2025-october:3600|2025-november:2900|2025-december:2900|2026-january:4400|2026-february:4400|2026-march:4400|2026-april:2900|2026-may:2900|2026-june:2900|2026-july:2900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
supper club,,supper club,Social and relationship: Supper clubs,3600,LOW,2,2.6578,0.7596,3.4784,2025-august:3600|2025-september:3600|2025-october:3600|2025-november:3600|2025-december:2900|2026-january:3600|2026-february:2900|2026-march:3600|2026-april:3600|2026-may:3600|2026-june:2900|2026-july:3600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
basketball clubs near me,,basketball clubs near me,Racket and team sport: Basketball,2900,LOW,6,0.6425,0.4123,2.0316,2025-august:2400|2025-september:4400|2025-october:3600|2025-november:3600|2025-december:2400|2026-january:4400|2026-february:2900|2026-march:3600|2026-april:2900|2026-may:2900|2026-june:2900|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
basketball near me,,basketball near me,Racket and team sport: Basketball,2900,LOW,20,0.1616,0.6516,2.5887,2025-august:2900|2025-september:2900|2025-october:2900|2025-november:1900|2025-december:1900|2026-january:2400|2026-february:2400|2026-march:2900|2026-april:3600|2026-may:3600|2026-june:2900|2026-july:2900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
calisthenics near me,,calisthenics near me,Fitness and mind-body: Calisthenics,2900,MEDIUM,43,0.7194,0.6170,1.6323,2025-august:3600|2025-september:2900|2025-october:2900|2025-november:2400|2025-december:2400|2026-january:2900|2026-february:1900|2026-march:2400|2026-april:2900|2026-may:2900|2026-june:2900|2026-july:2900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
canoeing near me,,canoeing near me,Outdoor and endurance: Canoeing,2900,MEDIUM,33,0.5382,0.1499,0.5518,2025-august:8100|2025-september:1900|2025-october:1300|2025-november:590|2025-december:480|2026-january:720|2026-february:880|2026-march:1600|2026-april:2900|2026-may:5400|2026-june:3600|2026-july:6600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
dance fitness classes near me,,dance fitness classes near me,Fitness and mind-body: Dance fitness,2900,LOW,16,1.5915,0.4160,1.3033,2025-august:2900|2025-september:3600|2025-october:3600|2025-november:2900|2025-december:1900|2026-january:5400|2026-february:3600|2026-march:2900|2026-april:2400|2026-may:2400|2026-june:2400|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
floristry workshops near me,,floristry workshops near me,Craft and making: Floristry,2900,HIGH,81,0.7226,0.2842,0.7361,2025-august:2900|2025-september:2900|2025-october:2400|2025-november:2400|2025-december:2400|2026-january:3600|2026-february:3600|2026-march:3600|2026-april:2400|2026-may:2400|2026-june:1900|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
meditation classes near me,,meditation classes near me,Fitness and mind-body: Meditation classes,2900,LOW,28,2.1961,0.5023,1.8023,2025-august:3600|2025-september:3600|2025-october:3600|2025-november:2900|2025-december:2400|2026-january:3600|2026-february:2900|2026-march:2900|2026-april:2400|2026-may:1900|2026-june:1900|2026-july:1900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
netball clubs near me,,netball clubs near me,Racket and team sport: Netball,2900,LOW,10,1.2329,0.4681,0.9904,2025-august:2400|2025-september:5400|2025-october:4400|2025-november:4400|2025-december:1900|2026-january:3600|2026-february:2900|2026-march:3600|2026-april:2900|2026-may:2400|2026-june:1900|2026-july:1900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
quiz night near me,,quiz night near me,Tabletop and games: Quiz nights,2900,LOW,3,0.6879,0.6032,1.9433,2025-august:3600|2025-september:3600|2025-october:3600|2025-november:2900|2025-december:1900|2026-january:3600|2026-february:2900|2026-march:2900|2026-april:2400|2026-may:1900|2026-june:1900|2026-july:1900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
repair cafe near me,repair cafes near me,repair cafe near me|repair cafes near me,Technical and maker hobbies: Repair cafes,2900,LOW,3,1.3777,0.3911,1.4828,2025-august:2900|2025-september:3600|2025-october:2900|2025-november:2900|2025-december:1900|2026-january:4400|2026-february:5400|2026-march:3600|2026-april:2900|2026-may:2400|2026-june:1900|2026-july:1900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
roller disco near me,,roller disco near me,Outdoor and endurance: Roller skating,2900,LOW,4,0.5025,0.1407,2.4956,2025-august:2400|2025-september:2400|2025-october:2900|2025-november:2400|2025-december:2900|2026-january:4400|2026-february:4400|2026-march:2900|2026-april:2400|2026-may:2400|2026-june:1600|2026-july:1600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sailing clubs near me,sailing club near me,sailing clubs near me|sailing club near me,Outdoor and endurance: Sailing clubs,2900,LOW,12,0.8537,0.3682,5.2893,2025-august:4400|2025-september:3600|2025-october:2400|2025-november:1600|2025-december:1300|2026-january:1900|2026-february:2900|2026-march:2400|2026-april:2400|2026-may:2900|2026-june:2900|2026-july:3600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
salsa classes near me,,salsa classes near me,Performance and dance: Salsa classes,2900,LOW,19,0.7731,0.2607,0.9974,2025-august:3600|2025-september:3600|2025-october:3600|2025-november:2900|2025-december:2900|2026-january:3600|2026-february:3600|2026-march:2900|2026-april:2400|2026-may:2400|2026-june:2400|2026-july:2900,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
speed dating near me,,speed dating near me,Social and relationship: Speed dating,2900,MEDIUM,42,1.6623,0.6128,2.5682,2025-august:3600|2025-september:3600|2025-october:3600|2025-november:2900|2025-december:2400|2026-january:3600|2026-february:2900|2026-march:2900|2026-april:2900|2026-may:2900|2026-june:2400|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
ballet near me,,ballet near me,Live culture: Ballet,2400,LOW,27,1.2824,0.3651,1.2262,2025-august:1900|2025-september:2900|2025-october:2900|2025-november:2900|2025-december:2900|2026-january:2900|2026-february:1900|2026-march:2400|2026-april:1900|2026-may:1900|2026-june:1600|2026-july:1600,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
ballroom dance classes near me,,ballroom dance classes near me,Performance and dance: Ballroom dancing,2400,LOW,13,1.0149,0.2093,0.9974,2025-august:1900|2025-september:2900|2025-october:5400|2025-november:4400|2025-december:3600|2026-january:2900|2026-february:1900|2026-march:1900|2026-april:1300|2026-may:1300|2026-june:1000|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
